Product Name,Price,Rating,No. Of Items Sold,Link
"Acer Swift 3 SF314-52 Intel Core i5-8250U 14 inches Laptop (4GB/256GB/Windows 10 Home Single Language/Integrated Graphics), Stellar Blue, 2.1Kg","47,980",1.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg20_1?ie=UTF8&adId=A05440667905MFHPO6SL&url=%2FAcer-SF314-52-i5-8250U-Language-Integrated%2Fdp%2FB07GLYTHZF%2Fref%3Dsr_1_307_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-307-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_btf
"HP Chromebook x360 AMD 3015CE-4GB SDRAM/64GB eMMC Storage 14-inch (35.56 cm) Thin & Light 2-in-1 Laptop (Chrome OS/Backlit Keyboard/ AMD Radeon Graphics/Google Assistant/1.49 kg), 14a-cb0005AU","27,150",3.7 out of 5 stars,123,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A01248161IXGXRFMGKSEB&url=%2FHP-Chromebook-3015CE-4GB-Assistant-14a-cb0005AU%2Fdp%2FB09CMMMV11%2Fref%3Dsr_1_305_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-305-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_atf_next
"(Renewed) Lenovo ThinkPad 13 Ultrabook intel Core i5 7th Gen Laptop, 13.3"" IPS FHD Screen, 8 GB RAM, 256GB SSD, Windows 11 (Upgraded), MS Office, Black","27,999",,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A03626962BS9K91Q0B2WD&url=%2FRenewed-Lenovo-ThinkPad-Ultrabook-Upgraded%2Fdp%2FB09YYV8RSC%2Fref%3Dsr_1_306_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-306-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_atf_next
"(Renewed) Dell Latitude 3480 6th Gen Intel Core i3 Thin & Light HD Laptop (4 GB DDR4 RAM/500 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)","21,999",,,https://www.amazon.in//Renewed-Dell-Latitude-Bluetooth-Graphics/dp/B0B3JMP5F9/ref=sr_1_307?keywords=Laptop&qid=1656474310&sr=8-307
"(Renewed) Lenovo ThinkPad T470 intel 6th Gen Core i5 Laptop, 8 GB RAM, 256GB SSD, 14 inch (36.83 cms), Windows 11 (Upgraded), MS Office, Black","29,499",3.7 out of 5 stars,14,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg20_1?ie=UTF8&adId=A05212743HQ9PHF5BGEO0&url=%2FRenewed-Lenovo-ThinkPad-T470-Upgraded%2Fdp%2FB09RFWMS47%2Fref%3Dsr_1_308_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-308-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_mtf
"(Renewed) Lenovo ThinkPad 13 Ultrabook intel Core i5 7th Gen Laptop, 13.3"" TouchScreen IPS FHD Screen, 8 GB RAM, 256GB SSD, Windows 11 (Upgraded), MS Office, Silver","29,999",3.6 out of 5 stars,9,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg20_1?ie=UTF8&adId=A06555241VVBE70R3X1D7&url=%2FLenovo-ThinkPad-Ultrabook-TouchScreen-Upgraded%2Fdp%2FB09T3L6G32%2Fref%3Dsr_1_309_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-309-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_mtf
Dell Latitude 3410 || i7-10510U || 14 inch FHD (1920 x 1080) Anti-Glare with Embedded Touch Display || 1TB HDD || 8GB RAM || Integrated Graphics || No Operating System (DOS) || 3 Years Warranty,"99,950",,,https://www.amazon.in//Dell-Latitude-3410-Anti-Glare-Integrated/dp/B08WCMCBNL/ref=sr_1_305?keywords=Laptop&qid=1656474310&sr=8-305
"Dell 15 (2021) Intel I3-1115G4, Windows 10 + Ms Office, 39.62Cm Fhd Display 8Gb Ddr4, 1Tb Hdd + 256Gb Ssd, Integrated Graphics, Platinum Silver,Backlit Kb, D560570Win9S, Inspiron 3511","48,990",3.9 out of 5 stars,5,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg20_1?ie=UTF8&adId=A00250463U2B4364CJAGU&url=%2FDell-i3-1115G4-Integrated-D560570WIN9S-3511%2Fdp%2FB09JZQRDTK%2Fref%3Dsr_1_306_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-306-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_btf
"Acer Swift 3 SF314-52 Intel Core i5-8250U 14 inches Laptop (4GB/256GB/Windows 10 Home Single Language/Integrated Graphics), Stellar Blue, 2.1Kg","47,980",1.0 out of 5 stars,1,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg20_1?ie=UTF8&adId=A05440667905MFHPO6SL&url=%2FAcer-SF314-52-i5-8250U-Language-Integrated%2Fdp%2FB07GLYTHZF%2Fref%3Dsr_1_307_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-307-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_btf
"HP Chromebook x360 AMD 3015CE-4GB SDRAM/64GB eMMC Storage 14-inch (35.56 cm) Thin & Light 2-in-1 Laptop (Chrome OS/Backlit Keyboard/ AMD Radeon Graphics/Google Assistant/1.49 kg), 14a-cb0005AU","27,150",3.7 out of 5 stars,123,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A01248161IXGXRFMGKSEB&url=%2FHP-Chromebook-3015CE-4GB-Assistant-14a-cb0005AU%2Fdp%2FB09CMMMV11%2Fref%3Dsr_1_305_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-305-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_atf_next
"(Renewed) Lenovo ThinkPad 13 Ultrabook intel Core i5 7th Gen Laptop, 13.3"" IPS FHD Screen, 8 GB RAM, 256GB SSD, Windows 11 (Upgraded), MS Office, Black","27,999",,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg20_1?ie=UTF8&adId=A03626962BS9K91Q0B2WD&url=%2FRenewed-Lenovo-ThinkPad-Ultrabook-Upgraded%2Fdp%2FB09YYV8RSC%2Fref%3Dsr_1_306_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-306-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_atf_next
"(Renewed) Dell Latitude 3480 6th Gen Intel Core i3 Thin & Light HD Laptop (4 GB DDR4 RAM/500 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)","21,999",,,https://www.amazon.in//Renewed-Dell-Latitude-Bluetooth-Graphics/dp/B0B3JMP5F9/ref=sr_1_307?keywords=Laptop&qid=1656474310&sr=8-307
"(Renewed) Lenovo ThinkPad T470 intel 6th Gen Core i5 Laptop, 8 GB RAM, 256GB SSD, 14 inch (36.83 cms), Windows 11 (Upgraded), MS Office, Black","29,499",3.7 out of 5 stars,14,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg20_1?ie=UTF8&adId=A05212743HQ9PHF5BGEO0&url=%2FRenewed-Lenovo-ThinkPad-T470-Upgraded%2Fdp%2FB09RFWMS47%2Fref%3Dsr_1_308_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-308-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_mtf
"(Renewed) Lenovo ThinkPad 13 Ultrabook intel Core i5 7th Gen Laptop, 13.3"" TouchScreen IPS FHD Screen, 8 GB RAM, 256GB SSD, Windows 11 (Upgraded), MS Office, Silver","29,999",3.6 out of 5 stars,9,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg20_1?ie=UTF8&adId=A06555241VVBE70R3X1D7&url=%2FLenovo-ThinkPad-Ultrabook-TouchScreen-Upgraded%2Fdp%2FB09T3L6G32%2Fref%3Dsr_1_309_sspa%3Fkeywords%3DLaptop%26qid%3D1656474310%26sr%3D8-309-spons%26psc%3D1&qualifier=1656474310&id=640706080453402&widgetName=sp_mtf
Dell Latitude 3410 || i7-10510U || 14 inch FHD (1920 x 1080) Anti-Glare with Embedded Touch Display || 1TB HDD || 8GB RAM || Integrated Graphics || No Operating System (DOS) || 3 Years Warranty,"99,950",,,https://www.amazon.in//Dell-Latitude-3410-Anti-Glare-Integrated/dp/B08WCMCBNL/ref=sr_1_305?keywords=Laptop&qid=1656474310&sr=8-305
